RelSpeed,InducedVertBreak,HorzBreak,SpinRate,Tilt,TaggedPitchType
85.92443,16.22237,-9.408,1882.434907,11.0,Fastball
87.93687,19.08253,-9.14166,2101.852612,11.0,Fastball
87.15839,5.97941,-17.04021,2066.91567,9.3,Fastball
88.42462,14.0569,-17.64005,2235.450266,10.15,Fastball
87.60809,3.24929,-17.3891,1903.999363,9.15,Fastball
79.10365,-15.06225,7.19422,2207.811419,5.15,Curveball
82.44049,5.88768,-13.70985,1603.300638,9.3,ChangeUp
83.01263,9.92918,-11.87631,1523.981267,10.15,ChangeUp
77.85401,-14.69887,7.91512,2192.998975,5.15,Curveball
81.08368,14.10595,-16.74036,1573.416156,10.15,ChangeUp
88.41502,10.35792,-17.94761,1978.153629,10.0,Fastball
87.6599,10.83595,-14.79359,2002.19237,10.0,Fastball
82.11182,11.21253,-14.8567,1688.460652,10.0,ChangeUp
81.96384,5.32012,-15.63698,1674.550272,9.3,ChangeUp
86.74476,12.16847,-17.14816,1926.865184,10.0,Fastball
81.46529,13.10347,-15.04969,1609.223875,10.15,ChangeUp
86.75643,7.91587,-18.79131,1918.626358,9.45,Fastball
80.46513,5.08394,-16.0343,1485.515942,9.3,ChangeUp
86.77322,17.53654,14.11146,2157.928066,1.15,Fastball
76.66791,11.9569,18.98344,2141.685244,2.0,ChangeUp
80.63476,8.83374,1.80311,2439.963624,12.3,Cutter
79.07871,9.43457,-2.26347,2319.627056,11.3,Cutter
75.87191,7.3515,-6.89469,2487.610833,10.15,Slider
86.43364,15.53619,-11.78997,1861.999846,10.45,Fastball
85.69011,8.44154,-17.47371,1923.041176,9.45,Fastball
71.72231,6.96146,7.53071,2075.618613,1.45,Slider
76.10641,2.05366,-13.40965,1338.181323,9.0,ChangeUp
85.53837,17.67186,-10.37402,1992.164175,11.0,Fastball
85.76834,10.71733,-14.98627,1970.171698,10.0,Fastball
86.35457,18.88281,-11.27064,2068.614381,11.0,Fastball
85.5919,11.49631,-15.38371,1943.55242,10.0,Fastball
86.87054,12.47678,-14.47001,1998.242133,10.15,Fastball
84.82236,14.95749,-13.82036,1898.476063,10.3,Fastball
